Model Name,histogram_type_default,histogram_type_actual,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,learn_rate_default,learn_rate_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,min_split_improvement_default,min_split_improvement_actual
GBM_grid_1_AutoML_20190424_174041_model_11,AUTO,AUTO,50,79,5,5,10.0,15.0,0.1,0.08,1.0,0.5,1.0,0.7,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_7,AUTO,AUTO,50,80,5,9,10.0,15.0,0.1,0.08,1.0,0.6,1.0,1.0,1.0,0.4,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_12,AUTO,AUTO,50,52,5,14,10.0,15.0,0.1,0.1,1.0,0.5,1.0,0.4,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_11,AUTO,AUTO,50,109,5,4,10.0,15.0,0.1,0.05,1.0,0.5,1.0,0.7,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_15,AUTO,AUTO,50,116,5,11,10.0,30.0,0.1,0.05,1.0,0.8,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_2_AutoML_20190424_174041,AUTO,AUTO,50,55,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_4_AutoML_20190424_174041,AUTO,AUTO,50,55,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_21,AUTO,AUTO,50,95,5,3,10.0,1.0,0.1,0.08,1.0,0.9,1.0,0.7,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_12,AUTO,AUTO,50,59,5,16,10.0,15.0,0.1,0.1,1.0,0.9,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_4_AutoML_20190424_170347,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_10,AUTO,AUTO,50,68,5,12,10.0,30.0,0.1,0.1,1.0,0.8,1.0,0.7,1.0,1.0,1e-05,1e-05
GBM_3_AutoML_20190424_174041,AUTO,AUTO,50,55,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_3_AutoML_20190424_171447,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_4_AutoML_20190424_171447,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_3_AutoML_20190424_170347,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_2_AutoML_20190424_170347,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_2_AutoML_20190424_171447,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_1_AutoML_20190424_170347,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_17,AUTO,AUTO,50,69,5,6,10.0,1.0,0.1,0.1,1.0,0.9,1.0,0.4,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_6,AUTO,AUTO,50,69,5,16,10.0,5.0,0.1,0.08,1.0,0.8,1.0,1.0,1.0,0.4,1e-05,1e-05
GBM_1_AutoML_20190424_171447,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_1_AutoML_20190424_174041,AUTO,AUTO,50,55,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_5,AUTO,AUTO,50,261,5,8,10.0,1.0,0.1,0.01,1.0,0.6,1.0,0.7,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_1,AUTO,AUTO,50,315,5,11,10.0,10.0,0.1,0.008,1.0,0.5,1.0,0.7,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_4,AUTO,AUTO,50,54,5,10,10.0,5.0,0.1,0.1,1.0,0.9,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_4,AUTO,AUTO,50,84,5,6,10.0,100.0,0.1,0.1,1.0,0.9,1.0,1.0,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_13,AUTO,AUTO,50,331,5,12,10.0,15.0,0.1,0.008,1.0,0.5,1.0,1.0,1.0,0.4,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_1,AUTO,AUTO,50,56,5,10,10.0,5.0,0.1,0.1,1.0,0.9,1.0,1.0,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_170347_model_3,AUTO,AUTO,50,58,5,17,10.0,1.0,0.1,0.1,1.0,0.5,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_6,AUTO,AUTO,50,294,5,12,10.0,1.0,0.1,0.008,1.0,0.6,1.0,0.7,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_170347_model_2,AUTO,AUTO,50,309,5,8,10.0,1.0,0.1,0.008,1.0,0.9,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_5,AUTO,AUTO,50,404,5,16,10.0,5.0,0.1,0.005,1.0,0.6,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_3,AUTO,AUTO,50,117,5,17,10.0,100.0,0.1,0.05,1.0,0.7,1.0,0.7,1.0,1.0,1e-05,0.0001
